Symbol,Name,Sector,MarketCap_BCHF,SharePrice_CHF,Volume_Shares,EPS_CHF,DivYield_Prct,Revenue_BCHF,RevenueGrowth_Prct,GrossProfit_BCHF,OperatingIncome_BCHF,EBITDA_BCHF,EnterpriseValue_BCHF
ABBN,ABB LTD N,Producer manufacturing,89.633,49.35,2037000,1.82,1.78,28.737,-1.63,10.459,4.298,5.004,93.266
ACLN,ACCELLERON N,Producer manufacturing,4.091,43.98,112241,,1.95,0.862493,,0.395954,0.275108,,4.091
ADEN,ADECCO N,Commercial services,4.656,27.88,691277,1.75,8.91,22.848,-4.56,4.563,0.572978,0.817024,7.745
AERO,MONTANA N,Electronic technology,1.246,20.2,15819,-0.5,0.0,1.426,1.44,0.175711,0.053953,0.149769,1.484
ALC,ALCON N,Health technology,42.055,84.42,454925,1.97,0.29,8.552,0.44,4.735,1.273,2.364,45.396
ALLN,ALLREAL N,Finance,2.639,160.0,22819,5.34,4.36,0.4004,-19.27,0.2293,0.1778,0.1805,5.397
ALSN,ALSO N,Distribution services,3.43,269.5,3203,8.83,1.79,9.029,-28.4,0.362859,0.18063,0.222242,3.044
ARYN,ARYZTA N,Retail trade,1.596,1.601,2770000,0.08,0.0,2.08,20.05,0.673586,0.158994,0.283486,2.376
AVOL,AVOLTA N,Retail trade,5.24,34.0,220503,0.83,2.04,13.429,137.64000000000001,4.119,0.8734,2.578,16.528
BAER,JULIUS BAER N,Finance,10.031,51.92,495349,1.82,5.11,6.112,37.980000000000004,,0.4222,,9.145
BALN,BALOISE N,Finance,7.771,172.6,46918,5.59,4.47,9.036,35.89,,0.3719,,10.311
BANB,BACHEM N,Health technology,5.268,70.6,73478,1.51,1.1400000000000001,0.577769,15.790000000000001,0.179359,0.128999,0.168738,5.096
BARN,BARRY CALLEBAUT N,Consumer non-durables,8.528,1559.0,9772,52.23,1.8599999999999999,8.933,15.17,1.347,0.647746,0.980987,11.166
BCGE,BC GENEVE N,Finance,1.841,256.0,582,32.3,2.5,0.863425,82.78,,0.253141,,3.249
BCHN,BURCKHARDT N,Producer manufacturing,2.024,601.0,2040,26.61,2.6,0.981963,50.91,0.262063,0.115971,0.134891,2.087
BCVN,BC VAUD N,Finance,7.474,86.85,39338,5.24,4.9399999999999995,1.674,48.4,,0.5239,,12.943
BEAN,BELIMO N,Producer manufacturing,7.503,611.0,17675,12.13,1.39,0.883955,10.91,0.251819,0.160769,0.196724,7.445
BEKN,BEKB / BCBE N,Finance,2.125,228.0,1924,,4.35,0.793589,57.06,,0.196944,,3.714
BELL,BELL FOOD GROUP N,Consumer non-durables,1.659,265.0,2202,20.44,2.65,4.603,8.58,0.6068,0.165,0.3423,2.559
BKW,BKW N,Utilities,8.067,150.4,31299,9.49,2.22,4.29,7.5200000000000005,0.7396,0.5837,0.9966,9.813
BOSN,BOSSARD N,Producer manufacturing,1.815,236.0,4675,8.71,1.69,1.001,-7.82,0.32424,0.101531,0.127249,2.063
BUCN,BUCHER N,Producer manufacturing,3.911,386.0,11132,29.1,3.53,3.36,0.41000000000000003,0.7196,0.3556,0.4441,3.727
CFR,RICHEMONT N,Consumer durables,76.563,133.5,1055000,3.91,2.1,19.802,-3.14,13.448,4.674,6.047,73.63
CFT,CIE FIN TR I,Finance,1.263,157.5,932,13.13,3.7900000000000005,1.008,11.1,,0.112048,0.135273,1.194
CLN,CLARIANT N,Process industries,4.169,12.66,625811,0.25,3.32,4.163,-15.06,1.221,0.384,0.619,5.983
CMBN,CEMBRA MONEY BANK N,Finance,2.285,77.3,85264,5.49,5.140000000000001,0.628262,19.39,,0.200366,,4.197
COPN,COSMO PHARM N,Health technology,1.261,74.4,12130,4.14,2.6,0.178042,117.21,0.13618,0.080719,0.09477,1.141
COTN,COMET N,Health technology,2.503,323.5,14079,2.25,0.31,0.379743,-28.74,0.157676,0.016372,0.037114,2.516
DAED,AETWYLER I,Producer manufacturing,2.914,167.4,12472,4.31,1.87,1.121,24.7,0.2447,0.1059,0.1883,3.423
DESN,DOTTIKON ES N,Process industries,3.562,257.5,2671,5.84,0.0,0.32627,29.509999999999998,0.108799,0.089816,0.110454,3.461
DKSH,DKSH N,Distribution services,4.339,66.3,50655,2.92,3.37,10.883,-2.95,0.7494,0.311,0.4385,4.675
DOKA,DORMAKABA N,Electronic technology,2.6,620.0,4420,9.98,1.53,2.837,2.91,1.142,0.3333,0.4614,3.141
EFGN,EFG INTERNATIONAL N,Finance,3.544,11.58,146656,0.97,4.84,2.637,56.879999999999995,,0.3955,,2.005
EMMN,EMMI N,Consumer non-durables,4.579,848.0,2346,36.05,1.81,4.156,2.76,0.874926,0.263686,0.378703,5.015
EMSN,EMS-CHEMIE N,Process industries,16.536,702.0,9939,19.75,2.26,2.093,-11.77,,0.503994,0.556109,15.934
FHZN,FLUGHAFEN ZUERICH N,Transportation,6.176,198.5,59464,10.35,2.63,1.291,47.56,0.4798,0.443,0.7036,7.342
