Symbol,Name,Sector,MarketCap_BCHF,SharePrice_CHF,Volume_Shares,EPS_CHF,DivYield_Prct,Revenue_BCHF,RevenueGrowth_Prct,GrossProfit_BCHF,OperatingIncome_BCHF,EBITDA_BCHF,EnterpriseValue_BCHF
ABBN,ABB LTD N,Producer Manufacturing,92.03,50.56,1631000,1.72,1.73,28.576,-1.51,10.21,4.063,4.763,95.363
ACLN,ACCELLERON N,Producer Manufacturing,3.381,36.18,28089,0.97,2.36,0.821952,,0.346715,0.121961,0.14898,3.633
ADEN,ADECCO N,Commercial Services,5.124,31.0,412709,1.75,8.1,22.848,-4.56,4.563,0.572978,0.817024,8.213
AEVS,AEVIS N,Health Services,1.333,15.8,1,-0.47,2.85,0.914363,11.07,0.170087,-0.060171,0.001766,2.3
ALC,ALCON N,Health Technology,39.716,80.56,120922,1.87,0.3,8.472,-0.07,4.722,1.258,2.337,43.272
ALLN,ALLREAL N,Finance,2.547,155.8,5685,3.95,4.52,0.4283,-22.54,0.2263,0.1748,0.177,5.226
ALSN,ALSO N,Distribution Services,3.558,279.5,1775,9.69,1.73,9.673,-27.78,0.374323,0.196606,0.239944,3.211
AMS,AMS-OSRAM,Electronic Technology,1.294,1.293,1297000,-3.57,0.0,3.372,-24.63,0.815224,0.054664,1.031,2.655
ARYN,ARYZTA N,Retail Trade,1.633,1.663,696264,,0.0,,,,,,2.441
AVOL,AVOLTA N,Retail Trade,5.405,35.54,19495,0.53,1.9800000000000002,12.79,226.65,3.895,0.7776,2.417,15.964
BAER,JULIUS BAER N,Finance,10.311,52.16,89242,2.2,4.97,5.824,28.59,,0.5136,,6.685
BALN,BALOISE N,Finance,7.134,157.8,28428,5.29,4.87,9.539,-5.66,,0.3812,,9.535
BANB,BACHEM N,Health Technology,6.318,88.35,36304,1.49,0.95,0.577316,14.719999999999999,0.176963,0.128562,0.165918,6.02
BARN,BARRY CALLEBAUT N,Consumer Non-Durables,8.446,1540.0,7491,,1.8800000000000001,,,,,,
BCGE,BC GENEVE N,Finance,2.067,291.0,431,32.46,2.23,0.801344,71.07,,0.253532,,2.264
BCHN,BURCKHARDT N,Producer Manufacturing,2.058,612.0,3556,26.61,1.9800000000000002,0.981963,50.91,0.262063,0.115971,0.134891,2.121
BCVN,BC VAUD N,Finance,8.217,95.75,9214,5.46,4.49,1.597,44.54,,0.5415,,11.99
BEAN,BELIMO N,Producer Manufacturing,5.37,440.4,15938,11.14,1.95,0.858785,12.21,0.241636,0.152466,0.188312,5.274
BEKN,BEKB / BCBE N,Finance,2.153,232.0,979,,4.29,0.735035,47.83,,0.197181,,3.83
BELL,BELL FOOD GROUP N,Consumer Non-Durables,1.624,258.0,144,20.64,2.7,4.514,8.73,0.5914,0.1648,0.3387,2.427
BKW,BKW N,Utilities,7.814,148.1,11621,9.06,2.3,4.433,31.14,0.7686,0.571,0.9528,9.136
BOSN,BOSSARD N,Producer Manufacturing,1.677,221.0,3050,9.64,1.83,1.069,7.42,0.339168,0.113086,0.138081,1.925
BUCN,BUCHER N,Producer Manufacturing,3.671,362.5,3843,34.38,3.7600000000000002,3.575,12.540000000000001,0.8216,0.4244,0.5104,3.295
CFR,RICHEMONT N,Consumer Durables,82.474,141.55,230435,,1.77,19.802,-3.14,13.448,4.674,6.047,79.542
CLN,CLARIANT N,Process Industries,4.877,14.72,123060,0.4,2.8400000000000003,4.377,0.11,1.2,0.483,0.719,5.795
CMBN,CEMBRA MONEY BANK N,Finance,2.291,77.65,34300,5.38,5.13,0.590594,15.110000000000001,,0.196173,,4.447
COTN,COMET N,Health Technology,2.892,373.0,3980,1.98,0.27,0.397453,-22.63,0.162926,0.017135,0.037153,2.901
DAE,DAETWYLER I,Producer Manufacturing,2.982,174.4,1623,3.93,1.82,1.152,21.52,0.2402,0.0992,0.1794,3.499
DESN,DOTTIKON ES N,Process Industries,3.569,259.0,1289,5.84,0.0,0.32627,29.509999999999998,0.108799,0.089816,0.110454,3.468
DKSH,DKSH N,Distribution Services,4.053,62.7,7678,2.8,3.61,11.066,-0.36,0.7597,0.3116,0.4437,4.375
DOKA,DORMAKABA N,Electronic Technology,1.947,467.0,1240,6.23,2.04,2.806,7.01,1.139,0.2177,0.3824,2.594
EFGN,EFG INTERNATIONAL N,Finance,4.206,13.54,110617,0.91,4.08,2.441,49.32,,0.3903,,0.543653
EMMN,EMMI N,Consumer Non-Durables,4.761,887.0,536,34.82,1.7399999999999998,4.242,8.450000000000001,0.874349,0.26113600000000003,0.375822,5.194
EMSN,EMS-CHEMIE N,Process Industries,17.366,748.0,3394,19.56,2.69,2.189,-2.88,,0.492551,0.542176,16.94
FHZN,FLUGHAFEN ZUERICH N,Transportation,6.201,202.2,4621,9.91,2.62,1.236,81.81,0.4538,0.4214,0.6811,7.165
FORN,FORBO N,Consumer Durables,1.478,1038.0,629,72.44,2.39,1.175,-6.28,0.4017,0.1299,0.18,1.449
GALE,GALENICA N,Distribution Services,3.665,74.75,18098,5.72,2.97,3.746,-2.31,0.377584,0.192296,0.295296,4.328
GEBN,GEBERIT N,Producer Manufacturing,18.135,542.8,13913,18.35,2.36,3.084,-10.88,1.295,0.903,1.055,19.099
GF,GEORG FISCHER N,Producer Manufacturing,5.056,62.4,48635,2.87,2.11,4.026,8.17,1.054,0.364,0.486,7.001
GGALD,GALDERMA GROUP N,Health Technology,17.665,74.46,36967,,0.0,,,,,,21.484
GIVN,GIVAUDAN N,Consumer Non-Durables,39.763,4302.0,5418,96.47,1.58,6.915,3.46,2.719,1.116,1.472,44.065
GRKP,GRAUB KB PS,Finance,1.324,1760.0,5,87.61,2.69,0.755266,64.95,,0.232404,,4.696
HELN,HELVETIA HOLDING N,Finance,6.455,123.2,11388,5.35,5.1499999999999995,10.496,-16.6,,0.5077,,9.529
HOLN,HOLCIM N,Non-Energy Minerals,45.866,81.06,497071,5.35,3.51,27.009,0.65,11.498,4.457,6.434,53.684
HUBN,HUBER+SUHNER N,Electronic Technology,1.449,79.1,10915,3.47,2.17,0.851062,-1.38,0.300569,0.073929,0.106869,1.289
IFCN,INFICON N,Electronic Technology,3.386,1386.0,172,38.79,1.44,0.605264,28.34,0.278108,0.121389,0.136567,3.348
INRN,INTERROLL N,Producer Manufacturing,2.311,2780.0,199,80.56,1.1400000000000001,0.556338,-13.08,0.164881,0.083853,0.106296,2.178
IREN,INVESTIS N,Finance,1.292,102.5,1314,-0.42,2.46,0.23153,7.19,0.201954,0.045979,0.050062,1.685
KARN,KARDEX N,Electronic Technology,1.781,233.5,2049,8.38,2.16,0.68246,38.74,0.229002,0.088556,0.097396,1.671
KNIN,KUEHNE+NAGEL INT N,Transportation,32.395,268.6,25011,10.48,3.71,22.609,-37.18,2.888,1.625,2.409,32.866
LAND,LANDIS+GYR N,Producer Manufacturing,2.119,80.2,93649,3.35,3.06,1.739,29.29,0.496396,0.138743,0.203128,2.318
LEHN,LEM N,Electronic Technology,1.55,1362.0,452,57.26,3.82,0.405777,8.67,0.189163,0.080903,,1.622
LISN,LINDT N,Consumer Non-Durables,24.727,108000.0,37,2859.1,1.31,5.201,13.43,2.188,0.8131,1.094,25.67
LLBN,LIECHT LANDBK N,Finance,2.197,71.6,2713,5.34,3.7600000000000002,0.966743,41.39,,0.193345,,-0.647053
LOGN,LOGITECH N,Electronic Technology,13.095,86.0,94654,3.43,1.24,3.808,-12.31,1.518,0.534578,0.60994,11.794
LONN,LONZA N,Health Technology,35.797,503.0,35872,8.88,0.8,6.717,24.18,1.948,1.313,1.934,37.321
LUKN,LUZERNER KB N,Finance,3.281,66.2,4635,12.17,3.7800000000000002,1.259,52.239999999999995,,0.283126,,20.027
MOBN,MOBIMO N,Finance,1.88,260.0,4493,6.43,3.8600000000000003,0.233969,-15.53,0.164773,0.12528,0.127778,3.457
MOVE,MEDACTA GROUP N,Health Technology,2.436,123.6,172,2.31,0.44999999999999996,0.496262,26.44,0.33802,0.072843,0.129595,2.606
NESN,NESTLE N,Consumer Non-Durables,237.957,93.18,866020,4.23,3.2399999999999998,92.998,6.79,42.67,16.018,19.476,287.992
NOVN,NOVARTIS N,Health Technology,190.367,97.18,1075000,6.53,3.4299999999999997,43.132,-11.4,31.108,11.808,18.755,206.232
OERL,OC OERLIKON N,Process Industries,1.603,4.998,1220000,0.1,4.06,2.693,1.66,0.651,0.156,0.372,2.779
PGHN,PARTNERS GROUP N,Finance,31.228,1199.5,10338,38.55,3.29,2.171,-25.81,1.903,1.26,1.301,32.422
PSPN,PSP N,Finance,5.371,117.5,4945,5.05,3.29,0.376375,6.660000000000001,0.333677,0.30344,0.304564,8.66
REHN,ROMANDE ENERGIE N,Utilities,1.59,56.2,502,8.28,2.5700000000000003,0.918177,50.01,0.176233,0.101812,0.191865,1.716
RO,ROCHE I,Health Technology,199.652,267.6,15460,14.3,3.53,58.716,-6.5,42.898,16.349,19.823,223.872
SCHN,SCHINDLER N,Producer Manufacturing,24.262,225.0,5768,8.04,1.78,11.494,2.3,3.525,1.188,1.537,21.492
SCMN,SWISSCOM N,Communications,26.366,512.5,93777,33.28,4.32,11.028,-0.57,3.767,2.557,4.97,33.697
SDZ,SANDOZ GROUP N,Health Technology,14.15,33.43,372984,,1.37,,,,,,14.15
SENS,SENSIRION N,Electronic Technology,1.305,81.5,3387,-0.42,0.0,0.233167,-18.89,0.121804,-0.005832,0.010118,1.232
SFSN,SFS GROUP N,Producer Manufacturing,4.679,121.4,2550,6.84,2.08,3.073,61.970000000000006,0.7825,0.3586,0.486,5.142
SFZN,SIEGFRIED N,Health Technology,4.121,973.0,1979,26.22,0.38,1.271,15.340000000000002,0.320408,0.167082,0.248435,4.589
SGKN,ST GALLER KB N,Finance,2.61,434.0,1451,34.63,4.36,0.956891,64.32,,0.242726,,6.116
SGSN,SGS N,Commercial Services,15.294,81.48,176271,2.99,3.9600000000000004,6.622,3.39,2.361,0.876,1.421,18.202
SIGN,SIG GROUP N,Producer Manufacturing,6.682,17.68,206261,0.61,2.75,3.136,40.81,0.739322,0.362158,0.762554,8.7
SIKA,SIKA N,Process Industries,41.045,261.0,249802,6.65,1.29,11.239,21.47,3.533,1.638,2.123,46.247
SKAN,SKAN N,Health Technology,1.783,79.6,2487,1.17,0.44,0.32002,35.620000000000005,0.22817,0.03775,0.050144,1.711
SLHN,SWISS LIFE HOLDING AG N,Finance,19.126,662.8,22950,37.01,5.06,11.876,-44.81,,3.123,,32.563
