,model_name,r2_score,MSE,MAE,RMS,dataset,n_train,iter
NN,NN,-1.9943119116569692,22801206.865939934,3896.85440453887,4775.06092798196,train,2,0
NN,NN,-0.9770771091577799,31860751.95197254,3968.1681459754022,5644.532925935727,validation,2,0
NN,NN,-2.072609783930981,9866961.185185337,2579.8998712301254,3141.1719445432045,train,2,1
NN,NN,-0.9769467409728185,31858651.05849487,3967.9315713289866,5644.34682301636,validation,2,1
NN,NN,-1727.3870698944343,23862543.983730033,4883.519123822451,4884.930294664401,train,2,2
NN,NN,-0.9767830953892735,31856013.897141267,3967.704790797271,5644.113207328612,validation,2,2
NN,NN,-309.0274276678199,5000432.380854267,2232.5531800687313,2236.164658707911,train,2,3
NN,NN,-0.9767129871486944,31854884.09737143,3967.5523439865187,5644.013119879456,validation,2,3
NN,NN,-2.2522849945848105,15110702.309211303,3235.1389080286026,3887.248681164006,train,2,4
NN,NN,-0.9765584380661552,31852393.52684164,3967.236130757441,5643.792477301202,validation,2,4
NN,NN,-3.142109775974081,43321315.47212758,5733.226243793964,6581.893000659277,train,2,5
NN,NN,-0.9762445752557933,31847335.603151374,3966.849298750366,5643.3443633320285,validation,2,5
NN,NN,-6.050515560934165,3274557.3107802756,1676.1678154468536,1809.5737925766596,train,2,6
NN,NN,-0.9761403937677682,31845656.71033906,3966.571987947806,5643.195611560799,validation,2,6
NN,NN,-2.4694903309450846,49468603.76891326,5933.726551413536,7033.392052837185,train,2,7
NN,NN,-0.9758702748699042,31841303.723213512,3966.0324961098413,5642.809913794147,validation,2,7
NN,NN,-3.6583562593059646,8110572.080541494,2523.585226416588,2847.9066137325317,train,2,8
NN,NN,-0.9756534790953577,31837810.042382818,3965.5538345467357,5642.50033605518,validation,2,8
NN,NN,-1.4147515021737305,51118359.914567634,5473.64048075676,7149.710477674437,train,2,9
NN,NN,-0.9751467533953029,31829644.11816957,3964.804653829932,5641.7766809906225,validation,2,9
NN,NN,-5.86450551100254,1221043.412965228,1020.7963981628418,1105.0083316270643,train,5,0
NN,NN,-0.9749772010646967,31826911.769125972,3964.3039840573388,5641.534522550223,validation,5,0
NN,NN,-0.7151498156156451,12388820.34020428,2273.508172798157,3519.775609354136,train,5,1
NN,NN,-0.9746834983243113,31822178.72653715,3963.6376894194113,5641.11502511136,validation,5,1
NN,NN,-1.2039369672218845,3083770.291276618,1296.6362060546876,1756.0667103719659,train,5,2
NN,NN,-0.9744811361382324,31818917.64411135,3963.03452827238,5640.8259717980445,validation,5,2
NN,NN,-0.36304264024828714,63759756.87306551,4122.952980422973,7984.970687051112,train,5,3
NN,NN,-0.9735355398254311,31803679.28571384,3961.595591351878,5639.475089555219,validation,5,3
NN,NN,-1.5388947415514416,53010116.07052512,5669.5437762260435,7280.804630707043,train,5,4
NN,NN,-0.9724234946202779,31785758.590422466,3960.062061042987,5637.886003673936,validation,5,4
NN,NN,-2.8595495274988316,15005655.924336836,3334.1221309661864,3873.7134540821207,train,5,5
NN,NN,-0.9718306059407615,31776204.143068995,3959.00684264185,5637.038596911413,validation,5,5
NN,NN,-2.0322534255306004,25907071.611726727,4166.134568023682,5089.898978538447,train,5,6
NN,NN,-0.9710447423223241,31763539.889510475,3957.7305335332144,5635.915177636235,validation,5,6
NN,NN,-1.7049332345153578,17905903.444316566,3358.5137935638427,4231.5367709989905,train,5,7
NN,NN,-0.9703145691234814,31751773.09141113,3956.4480610421215,5634.871169016301,validation,5,7
NN,NN,-0.7559696215002494,19392148.4279041,2891.691912651062,4403.651715100105,train,5,8
NN,NN,-0.9693518506425896,31736258.807938214,3954.7154548653366,5633.494369211548,validation,5,8
NN,NN,-2.3401953057192335,30709230.02764933,4640.744748878479,5541.590929295425,train,5,9
NN,NN,-0.9678514155921087,31712079.179970253,3952.594264958202,5631.34790081116,validation,5,9
NN,NN,-1.3127899104105216,62700360.982888065,5975.271331214904,7918.355952019842,train,10,0
NN,NN,-0.9650795076354213,31667409.666862927,3949.073950196982,5627.380355624003,validation,10,0
NN,NN,-0.7545118998311053,24389186.89923764,3247.7403593063354,4938.540968670569,train,10,1
NN,NN,-0.963313495345842,31638950.240954954,3946.36001751553,5624.851130559364,validation,10,1
NN,NN,-0.9218213136814355,25928836.66017636,3533.6990138053893,5092.036592580257,train,10,2
NN,NN,-0.9617316003188554,31613457.879106533,3943.9601086524194,5622.584626228985,validation,10,2
NN,NN,-1.0153274652535673,20052785.265879825,3186.229880809784,4478.033638314905,train,10,3
NN,NN,-0.9600224965323976,31585915.538168855,3941.3014913519673,5620.134832739233,validation,10,3
NN,NN,-0.8519961782406635,48737828.0734637,4752.222857475281,6981.248317705345,train,10,4
NN,NN,-0.9569165598101093,31535863.12542836,3937.1337452685184,5615.680112455513,validation,10,4
NN,NN,-0.8655661237257657,13590126.125256771,2508.1628829956053,3686.478824740049,train,10,5
NN,NN,-0.9555069572596036,31513147.27028821,3934.606271346885,5613.657209902312,validation,10,5
NN,NN,-0.8618841948790006,11393461.169737106,2309.964666748047,3375.4201471427386,train,10,6
NN,NN,-0.953964987253358,31488298.303265728,3931.940773723987,5611.44351332754,validation,10,6
NN,NN,-1.3636215222875654,33162823.44098408,4388.469367408752,5758.717169733558,train,10,7
NN,NN,-0.9510671356494684,31441599.198452115,3928.083299574474,5607.280909536467,validation,10,7
NN,NN,-1.2979585529521636,21970633.82816317,3530.733466339111,4687.284270039867,train,10,8
NN,NN,-0.9487805390329074,31404750.515476108,3924.4575730185306,5603.994157337792,validation,10,8
NN,NN,-0.45732471524687623,32059311.135028612,3198.9875440597534,5662.094235795498,train,10,9
