model_name,r2_score,MSE,MAE,RMS,dataset
"linear regression, all features",0.857894101854323,2253308.6484755427,894.8055847055493,1501.1024776728411,train
"linear regression, all features",0.8650896304284718,2174091.1372437403,890.9606500002138,1474.4799548463657,validation
"lasso, default param, all features",0.8578813194553203,2253511.3331677113,896.907275458304,1501.1699880985202,train
"lasso, default param, all features",0.8649598018088597,2176183.335583688,893.1496626865962,1475.189254158153,validation
"ridge, default param, all features",0.8578940661365902,2253309.214835399,894.9816173247133,1501.1026663207947,train
"ridge, default param, all features",0.8650813612939786,2174224.3949916163,891.1385383304442,1474.5251422039626,validation
"Lasso, alpha=2, all features",0.8578282657644829,2254352.5814336697,901.5936758809258,1501.450159490374,train
"Lasso, alpha=2, all features",0.8647048563854686,2180291.8009836115,897.916870964022,1476.5811189987537,validation
"Ridge, alpha=30, all features",0.8578642401897151,2253782.1513209348,900.0432534381016,1501.260187749257,train
"Ridge, alpha=30, all features",0.864827331581209,2178318.103643391,896.2482282045792,1475.9126341499318,validation
